,Chucky,Hammer,Katze,Kreatur,Munster,Pedro,binary_alpha_digits,caltech101,caltech_birds2010,caltech_birds2011,cats_vs_dogs,cifar100,cifar10,colorectal_histology,deep_weeds,default,eurosat,fashion_mnist,horses_or_humans,mnist
Chucky_81,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_82,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_83,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_84,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_85,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_86,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_87,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_88,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_89,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_90,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_91,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_92,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_93,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_94,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_95,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_96,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_97,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_98,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Chucky_99,0.82731,0.82003,0.78563,0.80202,0.81664,0.74964,0.77557,0.74620,0.74154,0.79804,0.82184,0.82029,0.81385,0.81150,0.78483,0.81036,0.81572,0.81536,0.74499,0.82248
Hammer_0,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_1,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_2,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_3,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_4,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_5,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_6,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_7,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_8,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_9,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_10,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_11,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_12,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_13,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_14,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_15,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_16,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_17,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_18,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_19,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_20,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_21,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_22,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_23,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_24,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
Hammer_25,0.79051,0.83469,0.81887,0.76092,0.78771,0.74721,0.81361,0.78482,0.75122,0.75322,0.78124,0.83151,0.81629,0.83208,0.78900,0.76705,0.78310,0.80617,0.80294,0.78298
